Check/Payment Date,Dept. Descrptn,Vendor Name,Commitmt Item Name,Invoice Net Amt
4/25/2018,Human Services,1 N 10 INC,Spec Contractual Svc,1166.67
4/25/2018,Human Services,1 N 10 INC,Spec Contractual Svc,4166.66
4/2/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,1322.86
4/2/2018,Parks and Recreation,1 STOP ELECTRONICS CENTER INC,Housing Appliances,1316.38
4/2/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,661.43
4/5/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,835.14
4/10/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories,1381.12
4/11/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories,4013.88
4/11/2018,Public Works,1 STOP ELECTRONICS CENTER INC,Other Commodities,138.12
4/11/2018,Public Works,1 STOP ELECTRONICS CENTER INC,Other Commodities,138.12
4/11/2018,Public Works,1 STOP ELECTRONICS CENTER INC,Other Commodities,-0.01
4/16/2018,Public Works,1 STOP ELECTRONICS CENTER INC,Housing Appliances,138.11
4/17/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,4035.46
4/26/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,4035.46
4/10/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,13580
4/25/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,5722.5
4/25/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,12180
4/25/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,1152
4/25/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,13376
4/25/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,7872
4/25/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,8460
4/25/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,9180
4/25/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,6201
4/5/2018,Street Transportation,3M COMPANY,Inventories,1364.29
4/5/2018,Street Transportation,3M COMPANY,Inventories,-170.65
4/5/2018,Street Transportation,3M COMPANY,Inventories,2728.58
4/5/2018,Street Transportation,3M COMPANY,Inventories,-17.59
4/5/2018,Street Transportation,3M COMPANY,Inventories,81.46
4/5/2018,Street Transportation,3M COMPANY,Inventories,-0.54
4/5/2018,Street Transportation,3M COMPANY,Inventories,81.46
4/5/2018,Street Transportation,3M COMPANY,Inventories,-0.54
4/5/2018,Street Transportation,3M COMPANY,Inventories,171.04
4/5/2018,Street Transportation,3M COMPANY,Inventories,-1.09
