Check/Payment Date,Dept. Descrptn,Vendor Name,Commitmt Item Name,Invoice Net Amt
12/10/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories,"5,170.57"
12/10/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories,"6,033.77"
12/10/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories,"4,566.33"
12/18/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories,"4,013.88"
12/19/2018,Water Services,1 STOP ELECTRONICS CENTER INC,Housing Appliances,138.11
12/19/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,"1,336.88"
12/19/2018,Human Services,1 STOP ELECTRONICS CENTER INC,Small Tools/ Equip,"1,497.65"
12/19/2018,Human Services,1 STOP ELECTRONICS CENTER INC,Small Tools/ Equip,0.01
12/19/2018,Human Services,1 STOP ELECTRONICS CENTER INC,Small Tools/ Equip,527.63
12/19/2018,Human Services,1 STOP ELECTRONICS CENTER INC,Small Tools/ Equip,225.51
12/19/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,552.45
12/19/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,"1,082.24"
12/21/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,"1,450.18"
12/21/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,966.78
12/21/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,"2,688.87"
12/21/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,672.22
12/4/2018,Public Works,1-800 RADIATOR,Inventories-Offline,154.49
12/4/2018,Public Works,1-800 RADIATOR,Inventories-Offline,0.79
12/4/2018,Public Works,1-800 RADIATOR,Inventories-Offline,152.51
12/4/2018,Public Works,1-800 RADIATOR,Inventories-Offline,0.78
12/4/2018,Public Works,1-800 RADIATOR,Inventories-Offline,114.81
12/4/2018,Public Works,1-800 RADIATOR,Inventories-Offline,0.59
12/4/2018,Public Works,1-800 RADIATOR,Inventories-Offline,-140.55
12/6/2018,Public Works,1-800 RADIATOR,Inventories-Offline,1.00
12/6/2018,Public Works,1-800 RADIATOR,Inventories-Offline,196.65
12/11/2018,Public Works,1-800 RADIATOR,Inventories-Offline,0.48
12/11/2018,Public Works,1-800 RADIATOR,Inventories-Offline,93.04
12/11/2018,Public Works,1-800 RADIATOR,Inventories-Offline,0.50
12/11/2018,Public Works,1-800 RADIATOR,Inventories-Offline,98.00
12/13/2018,Public Works,1-800 RADIATOR,Inventories-Offline,1.32
12/13/2018,Public Works,1-800 RADIATOR,Inventories-Offline,259.32
12/13/2018,Public Works,1-800 RADIATOR,Inventories-Offline,-127.06
12/19/2018,Public Works,1-800 RADIATOR,Inventories-Offline,0.59
12/19/2018,Public Works,1-800 RADIATOR,Inventories-Offline,116.70
12/19/2018,Public Works,1-800 RADIATOR,Inventories-Offline,0.49
12/19/2018,Public Works,1-800 RADIATOR,Inventories-Offline,96.16
12/19/2018,Public Works,1-800 RADIATOR,Inventories-Offline,2.12
12/19/2018,Public Works,1-800 RADIATOR,Inventories-Offline,415.84
12/19/2018,Public Works,1-800 RADIATOR,Inventories-Offline,0.44
12/19/2018,Public Works,1-800 RADIATOR,Inventories-Offline,86.30
12/19/2018,Public Works,1-800 RADIATOR,Inventories-Offline,37.51
12/19/2018,Public Works,1-800 RADIATOR,Inventories-Offline,116.70
12/19/2018,Public Works,1-800 RADIATOR,Inventories-Offline,641.55
12/19/2018,Public Works,1-800 RADIATOR,Inventories-Offline,3.26
12/18/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"6,072.00"
12/18/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"8,280.00"
12/18/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"12,880.00"
12/18/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"13,248.00"
12/18/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"16,632.00"
12/18/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"17,505.00"
12/18/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"11,560.00"
12/18/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"7,137.00"
