Check/Payment Date,Dept. Descrptn,Vendor Name,Commitmt Item Name,Invoice Net Amt
2/10/2020,Fire,1 STOP ELECTRONICS CENTER INC,Inventories,"7,043.71"
2/10/2020,Public Works,1-800 RADIATOR,Inventories-Offline,-13.15
2/10/2020,Public Works,1-800 RADIATOR,Inventories-Offline,171.62
2/25/2020,Police,21ST TACTICAL,Safety/Envir Supply,"1,784.23"
2/25/2020,Police,21ST TACTICAL,Police Equipment,19.95
2/12/2020,Public Works,2831 INDIAN SCHOOL LLC,Miscellaneous,33.00
2/14/2020,Public Works,2831 INDIAN SCHOOL LLC,Miscellaneous,9.00
2/14/2020,Communications Office,3CMA,Managemnt Developmnt,400.00
2/19/2020,Aviation,3M COMPANY,Inventories,-8.06
2/19/2020,Aviation,3M COMPANY,Inventories,"1,251.07"
2/19/2020,Aviation,3M COMPANY,Inventories,"1,957.30"
2/19/2020,Aviation,3M COMPANY,Inventories,-12.63
2/25/2020,Aviation,3M COMPANY,Inventories,"1,575.62"
2/25/2020,Aviation,3M COMPANY,Inventories,-10.16
2/25/2020,Street Transportation,3M COMPANY,Inventories,"7,297.92"
2/25/2020,Street Transportation,3M COMPANY,Inventories,-47.04
2/26/2020,Aviation,3M COMPANY,Inventories,-26.25
2/26/2020,Aviation,3M COMPANY,Inventories,"4,071.94"
2/26/2020,Aviation,3M COMPANY,Inventories,"2,140.25"
2/26/2020,Aviation,3M COMPANY,Inventories,-13.8
2/26/2020,Aviation,3M COMPANY,Inventories,-3.7
2/26/2020,Aviation,3M COMPANY,Inventories,573.41
2/26/2020,Aviation,3M COMPANY,Inventories,-4.22
2/26/2020,Aviation,3M COMPANY,Inventories,654.86
2/28/2020,Aviation,3M COMPANY,Inventories,-5.62
2/28/2020,Aviation,3M COMPANY,Inventories,873.14
2/28/2020,Aviation,3M COMPANY,Inventories,-4.22
2/28/2020,Aviation,3M COMPANY,Inventories,654.86
2/28/2020,Aviation,3M COMPANY,Inventories,-3.52
2/28/2020,Aviation,3M COMPANY,Inventories,545.72
2/28/2020,Aviation,3M COMPANY,Inventories,-5.62
2/28/2020,Aviation,3M COMPANY,Inventories,873.14
2/28/2020,Aviation,3M COMPANY,Inventories,-2.81
2/28/2020,Aviation,3M COMPANY,Inventories,436.57
2/28/2020,Aviation,3M COMPANY,Inventories,-5.62
2/28/2020,Aviation,3M COMPANY,Inventories,873.14
2/28/2020,Aviation,3M COMPANY,Inventories,651.60
2/28/2020,Aviation,3M COMPANY,Inventories,-4.2
2/4/2020,Aviation,911 INTERPRETERS INC,Interpreters/Transl,94.12
2/4/2020,Human Services,911 INTERPRETERS INC,Interpreters/Transl,19.76
2/4/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,5.20
2/4/2020,Neighborhood Services,911 INTERPRETERS INC,Interpreters/Transl,16.12
2/12/2020,Law,911 INTERPRETERS INC,Interpreters/Transl,26.52
2/13/2020,Law,911 INTERPRETERS INC,Interpreters/Transl,35.36
2/12/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.01
2/12/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,165.73
2/19/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,90.30
2/19/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,138.41
2/19/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,184.57
2/19/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,268.62
2/19/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,530.66
2/19/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,"1,094.67"
2/19/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-52.13
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,170.66
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,22.44
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,3.51
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,0.01
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,127.71
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,187.41
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,74.24
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,71.16
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,-0.01
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,19.51
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,236.96
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,-0.01
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,49.93
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,0.01
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,74.24
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,40.31
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,-0.01
2/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,212.33
2/3/2020,Trust,A & H PAINTING,Painting Services,"3,018.40"
2/13/2020,Housing,A & H PAINTING,Painting Services,256.61
2/13/2020,Housing,A & H PAINTING,Painting Services,"2,566.13"
2/13/2020,Housing,A & H PAINTING,Painting Services,411.60
2/13/2020,Housing,A & H PAINTING,Painting Services,41.16
2/13/2020,Housing,A & H PAINTING,Painting Services,580.57
2/14/2020,Housing,A & H PAINTING,Painting Services,243.04
2/14/2020,Housing,A & H PAINTING,Painting Services,"1,409.63"
2/14/2020,Housing,A & H PAINTING,Painting Services,58.80
2/4/2020,Police,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,480.00
2/11/2020,Human Services,A NEW LEAF INC,Spec Contractual Svc,"4,221.53"
2/3/2020,City Manager's Office,A TO Z EQUIPMENT RENTALS & SALES,Spec Contractual Svc,0.29
2/3/2020,City Manager's Office,A TO Z EQUIPMENT RENTALS & SALES,Spec Contractual Svc,38.81
2/3/2020,City Manager's Office,A TO Z EQUIPMENT RENTALS & SALES,Spec Contractual Svc,0.91
2/3/2020,City Manager's Office,A TO Z EQUIPMENT RENTALS & SALES,Spec Contractual Svc,120.73
2/4/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,0.37
2/4/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,50.82
2/4/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Repair,300.00
2/4/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Repair,600.00
2/4/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Repair,-0.01
2/4/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Repair,445.39
2/5/2020,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,0.89
2/5/2020,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,0.14
2/5/2020,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,30.79
2/5/2020,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,0.23
2/5/2020,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,19.41
2/10/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.09
2/10/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,14.55
2/10/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.11
2/10/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,23.24
2/10/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.17
2/10/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,11.60
2/10/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.09
2/10/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,31.04
2/10/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.24
2/10/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,15.74
2/10/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.09
2/10/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,13.48
