Check/Payment Date,Dept. Descrptn,Vendor Name,Commitmt Item Name,Invoice Net Amt
7/29/2020,Human Services,ARIZONA FOOD BANK NETWORK,Spec Contractual Svc,"500,000.00"
7/21/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"7,900.00"
7/21/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"14,198.40"
7/21/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"14,112.00"
7/21/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"4,752.00"
7/21/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"16,090.76"
7/21/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"9,511.50"
7/21/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"11,865.60"
7/21/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"13,056.00"
7/16/2020,Public Works,2831 INDIAN SCHOOL LLC,Miscellaneous,24
7/28/2020,Police,2831 INDIAN SCHOOL LLC,Vehicle Cleaning,207
7/28/2020,Public Works,2831 INDIAN SCHOOL LLC,Miscellaneous,66
7/6/2020,Street Transportation,3M COMPANY,Inventories,-71.4
7/6/2020,Street Transportation,3M COMPANY,Inventories,"11,077.20"
7/6/2020,Street Transportation,3M COMPANY,Inventories,-71.4
7/6/2020,Street Transportation,3M COMPANY,Inventories,"11,077.20"
7/8/2020,Street Transportation,3M COMPANY,Inventories,"4,092.86"
7/8/2020,Street Transportation,3M COMPANY,Inventories,-26.38
7/20/2020,Street Transportation,3M COMPANY,Inventories,-179.55
7/20/2020,Street Transportation,3M COMPANY,Inventories,"27,855.90"
7/20/2020,Street Transportation,3M COMPANY,Inventories,"8,307.90"
7/20/2020,Street Transportation,3M COMPANY,Inventories,-53.55
7/23/2020,Street Transportation,3M COMPANY,Inventories,"4,153.96"
