Check/Payment Date,Dept. Descrptn,Vendor Name,Commitmt Item Name,Invoice Net Amt
7/14/2021,Police,21ST CENTURY POLICING LLC,Cons/Other Prof Svcs,254.99
7/14/2021,Police,21ST CENTURY POLICING LLC,Cons/Other Prof Svcs,"27,678.75"
7/14/2021,Police,21ST CENTURY POLICING LLC,Cons/Other Prof Svcs,"11,041.25"
7/27/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"7,548.00"
7/27/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"13,798.56"
7/27/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"6,072.00"
7/27/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"13,608.00"
7/27/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"11,420.64"
7/27/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"13,843.44"
7/27/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"13,056.00"
7/30/2021,Information Technology Services,22ND CENTURY TECHNOLOGIES INC,Computer Services,"12,160.00"
7/30/2021,Information Technology Services,22ND CENTURY TECHNOLOGIES INC,Computer Services,"1,920.00"
7/30/2021,Information Technology Services,22ND CENTURY TECHNOLOGIES INC,Computer Services,"10,880.00"
7/30/2021,Information Technology Services,22ND CENTURY TECHNOLOGIES INC,Computer Services,"12,920.00"
7/13/2021,Public Works,2831 INDIAN SCHOOL LLC,Miscellaneous,48.00
7/26/2021,Police,2831 INDIAN SCHOOL LLC,Vehicle Cleaning,156.00
7/27/2021,Public Works,2831 INDIAN SCHOOL LLC,Miscellaneous,60.00
7/8/2021,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs,637.50
7/8/2021,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs,"3,037.50"
7/12/2021,Street Transportation,3M COMPANY,Inventories,"16,713.54"
7/12/2021,Street Transportation,3M COMPANY,Inventories,-107.73
7/12/2021,Street Transportation,3M COMPANY,Inventories,"17,515.01"
7/12/2021,Street Transportation,3M COMPANY,Inventories,-112.9
7/19/2021,Aviation,3M COMPANY,Inventories,-142.61
7/19/2021,Aviation,3M COMPANY,Inventories,"6,590.42"
7/19/2021,Street Transportation,3M COMPANY,Inventories,-49.88
7/19/2021,Street Transportation,3M COMPANY,Inventories,"7,737.76"
7/8/2021,Neighborhood Services,911 INTERPRETERS INC,Interpreters/Transl,69.16
7/8/2021,Neighborhood Services,911 INTERPRETERS INC,Interpreters/Transl,34.84
7/8/2021,Neighborhood Services,911 INTERPRETERS INC,Interpreters/Transl,17.68
7/8/2021,Neighborhood Services,911 INTERPRETERS INC,Interpreters/Transl,13.52
7/8/2021,Neighborhood Services,911 INTERPRETERS INC,Interpreters/Transl,75.92
7/8/2021,Neighborhood Services,911 INTERPRETERS INC,Interpreters/Transl,54.08
7/8/2021,Neighborhood Services,911 INTERPRETERS INC,Interpreters/Transl,26.00
7/8/2021,Neighborhood Services,911 INTERPRETERS INC,Interpreters/Transl,16.12
7/14/2021,Housing,911 INTERPRETERS INC,Interpreters/Transl,6.24
7/14/2021,Housing,911 INTERPRETERS INC,Interpreters/Transl,4.68
7/14/2021,Housing,911 INTERPRETERS INC,Interpreters/Transl,55.12
7/14/2021,Housing,911 INTERPRETERS INC,Interpreters/Transl,10.40
7/14/2021,Housing,911 INTERPRETERS INC,Interpreters/Transl,136.24
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,86.83
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.4
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,62.55
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.28
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,7.01
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.04
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,6.18
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.03
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,26.04
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.27
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,56.04
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.05
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,10.60
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Motor Vehicle Repair,356.25
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Motor Vehicle Repair,157.50
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.08
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,16.30
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.09
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,19.59
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.19
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,41.40
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-2.14
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,463.47
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.18
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,38.75
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.07
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,17.52
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,0.69
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.08
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,18.11
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.03
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,8.12
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,0.01
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,0.62
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-1.15
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,250.23
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.03
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,4.18
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.12
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,26.04
7/6/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.12
7/12/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,"2,990.81"
7/12/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,"1,520.35"
7/12/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,"1,303.15"
7/12/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,955.66
7/12/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.01
7/13/2021,Street Transportation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,"1,791.90"
7/13/2021,Street Transportation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,647.36
7/13/2021,Street Transportation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,55.11
7/13/2021,Street Transportation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.01
7/13/2021,Street Transportation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,45.48
7/13/2021,Street Transportation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,0.01
7/13/2021,Street Transportation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,100.00
7/26/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,0.01
7/26/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,386.91
7/26/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,117.16
7/26/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,269.63
7/26/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,55.26
7/27/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,110.55
7/27/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,182.12
7/27/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,45.93
7/27/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,64.81
7/27/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,0.01
7/27/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,232.88
7/27/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,703.64
7/27/2021,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,625.45
7/8/2021,Housing,A & H PAINTING,Painting Services,388.00
7/8/2021,Housing,A & H PAINTING,Painting Services,88.60
7/8/2021,Housing,A & H PAINTING,Painting Services,265.80
7/8/2021,Housing,A & H PAINTING,Painting Services,"2,134.00"
7/8/2021,Housing,A & H PAINTING,Painting Services,42.00
7/8/2021,Housing,A & H PAINTING,Painting Services,490.00
7/8/2021,Housing,A & H PAINTING,Painting Services,9.00
7/8/2021,Housing,A & H PAINTING,Painting Services,60.00
7/8/2021,Housing,A & H PAINTING,Painting Services,108.25
7/8/2021,Housing,A & H PAINTING,Painting Services,35.00
7/8/2021,Housing,A & H PAINTING,Painting Services,245.00
7/8/2021,Housing,A & H PAINTING,Painting Services,"1,000.00"
7/8/2021,Housing,A & H PAINTING,Painting Services,100.00
7/8/2021,Housing,A & H PAINTING,Painting Services,8.25
7/8/2021,Housing,A & H PAINTING,Painting Services,8.25
7/8/2021,Housing,A & H PAINTING,Painting Services,60.00
7/8/2021,Housing,A & H PAINTING,Painting Services,9.00
7/8/2021,Housing,A & H PAINTING,Painting Services,165.00
7/8/2021,Housing,A & H PAINTING,Painting Services,577.50
7/8/2021,Housing,A & H PAINTING,Painting Services,245.00
7/8/2021,Housing,A & H PAINTING,Painting Services,35.00
7/8/2021,Housing,A & H PAINTING,Painting Services,49.50
7/8/2021,Housing,A & H PAINTING,Painting Services,49.50
7/26/2021,Public Works,A & H PAINTING,Painting Services,"2,450.00"
7/26/2021,Public Works,A & H PAINTING,Painting Services,525.00
7/23/2021,Neighborhood Services,A NEW LEAF INC,CDBG Agency Pmts,"5,161.69"
7/7/2021,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,98.57
7/7/2021,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,0.73
7/7/2021,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,26.98
7/7/2021,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,0.19
7/7/2021,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,100.28
7/7/2021,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,0.74
7/7/2021,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,23.32
7/7/2021,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,0.18
7/7/2021,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,0.27
7/7/2021,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,36.01
7/12/2021,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,465.68
7/12/2021,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,2.36
7/12/2021,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,319.08
7/12/2021,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,-2.36
7/12/2021,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,319.08
7/12/2021,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,-0.83
7/12/2021,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,190.49
7/12/2021,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,0.82
7/12/2021,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,3.20
7/12/2021,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,431.18
7/12/2021,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,517.43
