Check/Payment Date,Dept. Descrptn,Vendor Name,Commitmt Item Name,Invoice Net Amt
6/4/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories,"1,381.12"
6/4/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories,"5,170.57"
6/8/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,686.25
6/8/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,-0.01
6/8/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,694.87
6/8/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,0.01
6/4/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"12,320.00"
6/4/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"11,916.00"
6/4/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"15,224.00"
6/4/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"6,090.00"
6/4/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"16,335.00"
6/4/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"10,880.00"
6/4/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"6,552.00"
6/21/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"12,096.00"
6/21/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"12,740.00"
6/21/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"11,832.00"
6/21/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"16,335.00"
6/21/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"6,864.00"
6/21/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"14,784.00"
6/21/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"1,400.00"
6/28/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"12,888.00"
