Check/Payment Date,Dept. Descrptn,Vendor Name,Commitmt Item Name,Invoice Net Amt
5/17/2018,Human Services,1 N 10 INC,Spec Contractual Svc,"4,166.66"
5/17/2018,Human Services,1 N 10 INC,Spec Contractual Svc,"1,166.67"
5/25/2018,Human Services,1 N 10 INC,Spec Contractual Svc,"4,166.66"
5/25/2018,Human Services,1 N 10 INC,Spec Contractual Svc,"1,166.67"
5/2/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,"1,484.71"
5/2/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,754.22
5/31/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,"2,900.35"
5/31/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,457.49
5/31/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,661.43
5/31/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,0.01
5/31/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,694.87
5/31/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,"1,424.28"
5/31/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,"1,933.57"
5/31/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,966.78
5/31/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,"3,361.09"
5/31/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,"1,484.71"
5/29/2018,Fire,139FIRE LLC,Train/Dev-Cons/Instr,"40,462.50"
5/1/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,"12,920.00"
5/15/2018,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs,"1,537.50"
5/16/2018,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs,"1,500.00"
5/15/2018,Police,88 TACTICAL BUILDING GROUP LLC,Training-In-State,"2,500.00"
5/10/2018,Human Services,911 INTERPRETERS INC,Interpreters/Transl,33.8
5/11/2018,Aviation,911 INTERPRETERS INC,Interpreters/Transl,219.44
5/17/2018,Housing,911 INTERPRETERS INC,Interpreters/Transl,48.88
5/31/2018,Law,911 INTERPRETERS INC,Interpreters/Transl,17.68
5/1/2018,Aviation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,14.43
5/1/2018,Aviation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,154.99
5/1/2018,Aviation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,0.01
5/1/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,18.97
5/1/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,0.01
5/1/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,25.23
5/1/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,-0.01
5/1/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,30.56
5/9/2018,Aviation,A & G TURF EQUIPMENT INC,Agricult/Hort Supply,207.21
5/9/2018,Aviation,A & G TURF EQUIPMENT INC,Agricult/Hort Supply,48.88
5/9/2018,Aviation,A & G TURF EQUIPMENT INC,Agricult/Hort Supply,-0.01
5/9/2018,Aviation,A & G TURF EQUIPMENT INC,Agricult/Hort Supply,113.03
5/9/2018,Aviation,A & G TURF EQUIPMENT INC,Agricult/Hort Supply,38.13
5/9/2018,Aviation,A & G TURF EQUIPMENT INC,Agricult/Hort Supply,-0.01
5/9/2018,Public Works,A & G TURF EQUIPMENT INC,Inventories-Offline,17.32
5/9/2018,Public Works,A & G TURF EQUIPMENT INC,Inventories-Offline,-0.01
5/9/2018,Public Works,A & G TURF EQUIPMENT INC,Inventories-Offline,60.23
5/9/2018,Public Works,A & G TURF EQUIPMENT INC,Inventories-Offline,17.32
5/11/2018,Public Works,A & G TURF EQUIPMENT INC,Inventories-Offline,-0.21
5/11/2018,Public Works,A & G TURF EQUIPMENT INC,Inventories-Offline,45.17
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,0.01
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,"1,008.67"
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,105.45
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,28.03
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,105.47
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,85.33
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,321.07
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,85.86
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,323
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,15.64
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,18.79
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,105.45
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,79.38
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,141.29
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,0.01
5/22/2018,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,315.27
5/11/2018,Housing,A & H PAINTING,Painting Services,"10,360.00"
5/11/2018,Housing,A & H PAINTING,Painting Services,279.59
5/11/2018,Housing,A & H PAINTING,Painting Services,247.16
5/11/2018,Housing,A & H PAINTING,Painting Services,"1,433.50"
5/11/2018,Housing,A & H PAINTING,Painting Services,39.2
5/11/2018,Housing,A & H PAINTING,Painting Services,232.85
5/11/2018,Housing,A & H PAINTING,Painting Services,439.04
5/11/2018,Housing,A & H PAINTING,Painting Services,441
5/11/2018,Housing,A & H PAINTING,Painting Services,27.44
5/11/2018,Housing,A & H PAINTING,Painting Services,"2,795.94"
5/11/2018,Housing,A & H PAINTING,Painting Services,293.22
5/16/2018,Housing,A & H PAINTING,Painting Services,"10,780.00"
5/16/2018,Housing,A & H PAINTING,Painting Services,"2,800.00"
5/16/2018,Housing,A & H PAINTING,Painting Services,235
5/16/2018,Housing,A & H PAINTING,Painting Services,"2,350.00"
5/16/2018,Housing,A & H PAINTING,Painting Services,40
5/16/2018,Housing,A & H PAINTING,Painting Services,140
5/16/2018,Housing,A & H PAINTING,Painting Services,55
5/16/2018,Housing,A & H PAINTING,Painting Services,390
5/18/2018,Housing,A & H PAINTING,Painting Services,278.12
5/18/2018,Housing,A & H PAINTING,Painting Services,"1,613.12"
5/18/2018,Housing,A & H PAINTING,Painting Services,39.2
5/18/2018,Housing,A & H PAINTING,Painting Services,493.92
