Check/Payment Date,Dept. Descrptn,Vendor Name,Commitmt Item Name,Invoice Net Amt
11/15/2017,Street Transportation,1 STOP ELECTRONICS CENTER INC,Small Tools/ Equip,1938.96
11/15/2017,Parks and Recreation,1 STOP ELECTRONICS CENTER INC,Housing Appliances,658.19
11/22/2017,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,332.33
11/22/2017,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,2309.06
11/22/2017,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,3166.87
11/22/2017,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,2770.87
11/22/2017,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,-0.01
11/22/2017,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,2628.45
11/22/2017,Fire,1 STOP ELECTRONICS CENTER INC,Inventories,1381.12
11/22/2017,Fire,1 STOP ELECTRONICS CENTER INC,Inventories,5170.57
11/28/2017,Public Transit,1 STOP ELECTRONICS CENTER INC,Small Tools/ Equip,138.11
11/29/2017,Fire,1 STOP ELECTRONICS CENTER INC,Inventories,4756.23
11/14/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,12672.00
11/14/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,5880.00
11/14/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,16192.00
11/14/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,18405.00
11/14/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,16560.00
11/14/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,7176.00
11/14/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,15088.00
11/14/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,10710.00
11/1/2017,Street Transportation,3M COMPANY,Inventories,-34.65
11/1/2017,Street Transportation,3M COMPANY,Inventories,5973.00
11/1/2017,Street Transportation,3M COMPANY,Inventories,-3.85
11/1/2017,Street Transportation,3M COMPANY,Inventories,-26.09
11/1/2017,Street Transportation,3M COMPANY,Inventories,4626.36
11/1/2017,Street Transportation,3M COMPANY,Inventories,-3.73
11/1/2017,Street Transportation,3M COMPANY,Inventories,-328.51
11/1/2017,Street Transportation,3M COMPANY,Inventories,4148.17
11/1/2017,Street Transportation,3M COMPANY,Inventories,-16.66
11/1/2017,Street Transportation,3M COMPANY,Inventories,2584.68
11/16/2017,Aviation,3M COMPANY,Signage,-5.25
11/16/2017,Aviation,3M COMPANY,Signage,814.50
11/16/2017,Aviation,3M COMPANY,Signage,-10.50
11/16/2017,Aviation,3M COMPANY,Signage,1629.00
11/22/2017,Street Transportation,3M COMPANY,Inventories,-19.25
11/22/2017,Street Transportation,3M COMPANY,Inventories,-19.25
11/22/2017,Street Transportation,3M COMPANY,Inventories,5973.00
11/22/2017,Street Transportation,3M COMPANY,Inventories,-7.88
11/22/2017,Street Transportation,3M COMPANY,Inventories,1221.76
11/22/2017,Street Transportation,3M COMPANY,Inventories,-8.95
11/22/2017,Street Transportation,3M COMPANY,Inventories,-5.96
11/22/2017,Street Transportation,3M COMPANY,Inventories,2313.18
11/22/2017,Street Transportation,3M COMPANY,Inventories,-6.63
11/22/2017,Street Transportation,3M COMPANY,Inventories,1028.98
11/22/2017,Street Transportation,3M COMPANY,Inventories,-1.18
11/22/2017,Street Transportation,3M COMPANY,Inventories,-10.62
11/22/2017,Street Transportation,3M COMPANY,Inventories,1829.92
11/22/2017,Street Transportation,3M COMPANY,Inventories,2410.92
11/22/2017,Street Transportation,3M COMPANY,Inventories,-15.54
11/22/2017,Street Transportation,3M COMPANY,Inventories,1447.10
11/22/2017,Street Transportation,3M COMPANY,Inventories,-9.34
11/22/2017,Street Transportation,3M COMPANY,Inventories,-4.97
11/22/2017,Street Transportation,3M COMPANY,Inventories,771.06
11/15/2017,Aviation,911 INTERPRETERS INC,Interpreters/Transl,109.20
11/22/2017,Law,911 INTERPRETERS INC,Interpreters/Transl,43.16
11/22/2017,Human Services,911 INTERPRETERS INC,Interpreters/Transl,12.48
11/22/2017,Human Services,911 INTERPRETERS INC,Interpreters/Transl,25.48
11/22/2017,Human Services,911 INTERPRETERS INC,Interpreters/Transl,75.40
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,508.23
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,425.93
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,-0.01
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,1016.47
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,0.01
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,290.50
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,425.93
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,650.06
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,6.85
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,353.87
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,-47.49
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,1.50
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,592.93
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,-22.80
11/22/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,807.31
11/28/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,34.84
11/28/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,12.49
11/28/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,0.45
11/28/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,1.29
11/28/2017,Aviation,A & G TURF EQUIPMENT,Small Tools/ Equip,-0.01
11/28/2017,Aviation,A & G TURF EQUIPMENT,Small Tools/ Equip,14.11
11/28/2017,Aviation,A & G TURF EQUIPMENT,Small Tools/ Equip,14.11
11/28/2017,Aviation,A & G TURF EQUIPMENT,Small Tools/ Equip,56.43
11/28/2017,Aviation,A & G TURF EQUIPMENT,Small Tools/ Equip,138.14
11/28/2017,Aviation,A & G TURF EQUIPMENT,Small Tools/ Equip,69.07
11/28/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,-0.06
11/28/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,868.50
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,0.01
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,222.30
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,358.27
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,0.01
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,333.83
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Agricult/Hort Supply,248.37
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,2.62
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,-0.01
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,5.75
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,22.25
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,108.71
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,45.00
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,43.10
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,4.65
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,0.01
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,4.91
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,41.69
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,28.43
11/30/2017,Aviation,A & G TURF EQUIPMENT,Agricult/Hort Supply,17.63
11/30/2017,Aviation,A & G TURF EQUIPMENT,Agricult/Hort Supply,0.01
11/30/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,15.66
11/30/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,13.38
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,203.17
11/30/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,153.53
11/30/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,0.01
11/30/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,685.53
11/30/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,28.78
11/30/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,3.55
11/30/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,12.86
11/30/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,-0.05
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Plumbing Supplies,287.51
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Plumbing Supplies,76.66
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Plumbing Supplies,0.01
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Plumbing Supplies,83.54
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Plumbing Supplies,-0.01
11/30/2017,Parks and Recreation,A & G TURF EQUIPMENT,Plumbing Supplies,94.84
11/22/2017,Housing,A & H PAINTING,Painting Services,220.90
11/22/2017,Housing,A & H PAINTING,Painting Services,1281.22
11/22/2017,Housing,A & H PAINTING,Painting Services,112.00
11/22/2017,Housing,A & H PAINTING,Painting Services,176.40
11/22/2017,Housing,A & H PAINTING,Painting Services,40.00
11/22/2017,Housing,A & H PAINTING,Painting Services,112.00
11/22/2017,Housing,A & H PAINTING,Painting Services,60.00
11/22/2017,Housing,A & H PAINTING,Painting Services,1740.00
11/22/2017,Housing,A & H PAINTING,Painting Services,300.00
11/29/2017,Housing,A & H PAINTING,Painting Services,40.00
11/29/2017,Housing,A & H PAINTING,Painting Services,100.00
11/29/2017,Housing,A & H PAINTING,Painting Services,1844.98
11/29/2017,Housing,A & H PAINTING,Painting Services,318.10
11/29/2017,Housing,A & H PAINTING,Painting Services,193.35
11/29/2017,Housing,A & H PAINTING,Painting Services,1933.50
11/29/2017,Housing,A & H PAINTING,Painting Services,540.00
11/29/2017,Housing,A & H PAINTING,Painting Services,42.00
11/29/2017,Housing,A & H PAINTING,Painting Services,392.00
11/29/2017,Housing,A & H PAINTING,Painting Services,598.40
11/22/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,60.00
11/22/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,60.00
11/22/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,60.00
11/22/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,60.00
11/22/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,60.00
11/22/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,60.00
11/22/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,60.00
11/22/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,20.00
11/22/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,60.00
11/30/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,40.00
11/30/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,60.00
11/30/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,60.00
11/30/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,60.00
11/30/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,60.00
11/30/2017,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,20.00
