Check/Payment Date,Dept. Descrptn,Vendor Name,Commitmt Item Name,Invoice Net Amt
10/10/2017,Human Services,1 N 10 INC,Spec Contractual Svc,4166.66 
10/10/2017,Human Services,1 N 10 INC,Spec Contractual Svc,1166.67 
10/12/2017,Fire,1 STOP ELECTRONICS CENTER INC,Inventories,4756.23 
10/19/2017,Water Services,1 STOP ELECTRONICS CENTER INC,Housing Appliances,276.23 
10/19/2017,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,2309.06 
10/19/2017,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,463.97 
10/19/2017,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances,2309.06 
10/19/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,10744.00 
10/19/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,10980.00 
10/19/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,13120.00 
10/19/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,6864.00 
10/19/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,14850.00 
10/19/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,14520.00 
10/19/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,5040.00 
10/19/2017,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep,11880.00 
10/19/2017,Street Transportation,3M COMPANY,Inventories,1243.48 
10/19/2017,Street Transportation,3M COMPANY,Inventories,(8.02)
10/19/2017,Street Transportation,3M COMPANY,Inventories,2036.26 
10/19/2017,Street Transportation,3M COMPANY,Inventories,(13.13)
10/19/2017,Street Transportation,3M COMPANY,Inventories,4072.50 
10/19/2017,Street Transportation,3M COMPANY,Inventories,(15.75)
10/19/2017,Street Transportation,3M COMPANY,Inventories,(10.50)
10/19/2017,Street Transportation,3M COMPANY,Inventories,2715.00 
10/19/2017,Street Transportation,3M COMPANY,Inventories,(17.50)
10/19/2017,Street Transportation,3M COMPANY,Inventories,12217.50 
10/19/2017,Street Transportation,3M COMPANY,Inventories,(47.25)
10/19/2017,Street Transportation,3M COMPANY,Inventories,(31.50)
10/19/2017,Street Transportation,3M COMPANY,Inventories,(27.35)
10/19/2017,Street Transportation,3M COMPANY,Inventories,4240.84 
10/23/2017,Street Transportation,3M COMPANY,Inventories,(2.12)
10/23/2017,Street Transportation,3M COMPANY,Inventories,327.43 
10/23/2017,Street Transportation,3M COMPANY,Inventories,(12.25)
10/23/2017,Street Transportation,3M COMPANY,Inventories,1900.50 
10/5/2017,Housing,911 INTERPRETERS INC,Interpreters/Transl,102.44 
10/13/2017,Law,911 INTERPRETERS INC,Interpreters/Transl,34.32 
10/13/2017,Law,911 INTERPRETERS INC,Interpreters/Transl,22.36 
10/13/2017,Human Services,911 INTERPRETERS INC,Interpreters/Transl,53.04 
10/20/2017,Aviation,911 INTERPRETERS INC,Interpreters/Transl,205.40 
10/11/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,94.11 
10/11/2017,Parks and Recreation,A & G TURF EQUIPMENT,Small Tools/ Equip,323.02 
10/25/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,499.36 
10/25/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,(0.01)
10/25/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,241.89 
10/25/2017,Parks and Recreation,A & G TURF EQUIPMENT,Mat to Maint Infr/Eq,0.01 
10/26/2017,Aviation,A & G TURF EQUIPMENT,Motor Vehicle Parts,17.72 
