Check/Payment Date,Dept. Descrptn,Vendor Name,Commitmt Item Name, Invoice Net Amt 
10/11/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories, 501.74 
10/11/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories," 4,566.33 "
10/11/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances, 280.54 
10/11/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances, 556.77 
10/11/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances, 754.22 
10/11/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories," 1,657.35 "
10/11/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances," 2,416.96 "
10/11/2018,Housing,1 STOP ELECTRONICS CENTER INC,Housing Appliances," 3,361.09 "
10/12/2018,Library,1 STOP ELECTRONICS CENTER INC,Housing Appliances, 646.32 
10/12/2018,Police,1 STOP ELECTRONICS CENTER INC,Housing Appliances, 646.32 
10/18/2018,Public Works,1 STOP ELECTRONICS CENTER INC,Other Commodities, 658.19 
10/19/2018,Parks and Recreation,1 STOP ELECTRONICS CENTER INC,Mat to Maint Infr/Eq, 646.32 
10/19/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories," 4,566.33 "
10/19/2018,Library,1 STOP ELECTRONICS CENTER INC,Other Commodities, 658.19 
10/19/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories," 3,512.15 "
10/22/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories," 1,657.35 "
10/22/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories," 2,585.29 "
10/22/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories," 2,585.29 "
10/22/2018,Fire,1 STOP ELECTRONICS CENTER INC,Inventories, (0.01)
10/15/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep," 12,880.00 "
10/15/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep," 6,825.00 "
10/15/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep," 11,968.00 "
10/15/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep," 15,840.00 "
10/15/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep," 16,632.00 "
10/15/2018,Aviation,22ND CENTURY STAFFING INC,Tech Supp Maint/Rep," 12,672.00 "
10/9/2018,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs, 625.00 
10/9/2018,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs," 4,433.47 "
10/4/2018,Street Transportation,3M COMPANY,Inventories," 22,480.20 "
10/4/2018,Street Transportation,3M COMPANY,Inventories, (144.90)
10/22/2018,Street Transportation,4550-4600 SANTA ANA LTD,Easement Purchase, 40.00 
10/16/2018,Aviation,911 INTERPRETERS INC,Interpreters/Transl, 195.00 
